日期,进口商名称(标准),进口商名称(原始),出口商名称(标准),出口商名称(原始),海关编码,产品(英文),产品描述,千克重量,数量,数量单位,美元总价,重量美元单价,数量美元单价,原产国,目的国,起运港,目的港,数据源,进/出口,运输方式,成交方式
2026-03-22,GENERAL CABLE PERU S A C,GENERAL CABLE PERU S.A.C.,COBRE CERRILLOS S A COCESA,COBRE CERRILLOS S A COCESA,8544491090,CONDUCTOR,"CONDUCTORES ELECTRICOS, PRYSMIAN, S/M EN CARRETES / CODIGO: 20473556 - PRODUCTO TERMINADO CONDUCTORES ELECTRICOS PARA INSTALACIONES INDUSTRIALES, COMERCIALES Y DOMICILIARIAS INTERI EVA GREEN-90 4 MM2 750V R100 NE 70% CONDUCTOR DE COBRE, 30% COMPUESTO LIBRE DE HALOGENOS [LSZH] / INFERIOR O IGUAL A 1000V",1535.94,1535.94,KGS,18415.09,11.9895,0.5755,Chile,Peru,SAN ANTONIO,,peru,imports,SEA,FOB
2026-03-22,GENERAL CABLE PERU S A C,GENERAL CABLE PERU S.A.C.,COBRE CERRILLOS S A COCESA,COBRE CERRILLOS S A COCESA,8544491090,CONDUCTOR,"CONDUCTORES ELECTRICOS, PRYSMIAN, S/M EN CARRETES / CODIGO: 20473543 - PRODUCTO TERMINADO CONDUCTORES ELECTRICOS PARA INSTALACIONES INDUSTRIALES, COMERCIALES Y DOMICILIARIAS INTERI EVA GREEN-90 4 MM2 750V R100 RO 70% CONDUCTOR DE COBRE, 30% COMPUESTO LIBRE DE HALOGENOS [LSZH] / INFERIOR O IGUAL A 1000V",1920.04,1920.04,KGS,23037.21,11.9983,0.5759,Chile,Peru,SAN ANTONIO,,peru,imports,SEA,FOB
2026-03-22,GENERAL CABLE PERU S A C,GENERAL CABLE PERU S.A.C.,COBRE CERRILLOS S A COCESA,COBRE CERRILLOS S A COCESA,8544491090,CONDUCTOR,"CONDUCTORES ELECTRICOS, PRYSMIAN, S/M EN CARRETES / CODIGO: 20323161 - PRODUCTO TERMINADO CONDUCTORES ELECTRICOS PARA LA INDUSTRIA Y MINERIA XTMU/EVA 3X4/0+1X4 AWG 600V I14113821 79% CONDUCTOR DE COBRE, 21% COMPUESTO LIBRE DE HALOGENOS [LSZH] / INFERIOR O IGUAL A 1000V",2088.45,2088.45,KGS,26576.78,12.7256,50.6224,Chile,Peru,SAN ANTONIO,,peru,imports,SEA,FOB
2026-03-22,GENERAL CABLE PERU S A C,GENERAL CABLE PERU S.A.C.,COBRE CERRILLOS S A COCESA,COBRE CERRILLOS S A COCESA,8544491090,-,"CONDUCTORES ELECTRICOS, PRYSMIAN, S/M EN CARRETES / CODIGO: 20348343 - PRODUCTO TERMINADO CONDUCTORES ELECTRICOS PARA LA INDUSTRIA Y MINERIA XTMU/EVA 3X2+1X6 AWG 600V NE I14109638 69% CONDUCTOR DE COBRE, 31% COMPUESTO LIBRE DE HALOGENOS [LSZH] / INFERIOR O IGUAL A 1000V",807.37,807.37,KGS,9777.44,12.1102,17.8747,Chile,Peru,SAN ANTONIO,,peru,imports,SEA,FOB
2026-03-22,GENERAL CABLE PERU S A C,GENERAL CABLE PERU S.A.C.,COBRE CERRILLOS S A COCESA,COBRE CERRILLOS S A COCESA,8544491090,CONDUCTOR,"CONDUCTORES ELECTRICOS, PRYSMIAN, S/M EN CARRETES / CODIGO: 20473552 - PRODUCTO TERMINADO CONDUCTORES ELECTRICOS PARA INSTALACIONES INDUSTRIALES, COMERCIALES Y DOMICILIARIAS INTERI EVA GREEN-90 2,5 MM2 750V R100 BL 64% CONDUCTOR DE COBRE, 36% COMPUESTO LIBRE DE HALOGENOS [LSZH] / INFERIOR O IGUAL A 1000V",1298.48,1298.48,KGS,14547.9,11.2038,0.3637,Chile,Peru,SAN ANTONIO,,peru,imports,SEA,FOB
2026-03-22,GENERAL CABLE PERU S A C,GENERAL CABLE PERU S.A.C.,COBRE CERRILLOS S A COCESA,COBRE CERRILLOS S A COCESA,8544491090,CONDUCTOR,"CONDUCTORES ELECTRICOS, PRYSMIAN, S/M EN CARRETES / CODIGO: 20473557 - PRODUCTO TERMINADO CONDUCTORES ELECTRICOS PARA INSTALACIONES INDUSTRIALES, COMERCIALES Y DOMICILIARIAS INTERI EVA GREEN-90 2,5 MM2 750V R100 AV 64% CONDUCTOR DE COBRE, 36% COMPUESTO LIBRE DE HALOGENOS [LSZH] / INFERIOR O IGUAL A 1000V",615.76,615.76,KGS,7051.62,11.4519,0.3711,Chile,Peru,SAN ANTONIO,,peru,imports,SEA,FOB
2026-03-22,GENERAL CABLE PERU S A C,GENERAL CABLE PERU S.A.C.,COBRE CERRILLOS S A COCESA,COBRE CERRILLOS S A COCESA,8544491090,CONDUCTOR,"CONDUCTORES ELECTRICOS, PRYSMIAN, S/M EN CARRETES / CODIGO: 20473551 - PRODUCTO TERMINADO CONDUCTORES ELECTRICOS PARA INSTALACIONES INDUSTRIALES, COMERCIALES Y DOMICILIARIAS INTERI EVA GREEN-90 2,5 MM2 750V R100 AZ 64% CONDUCTOR DE COBRE, 36% COMPUESTO LIBRE DE HALOGENOS [LSZH] / INFERIOR O IGUAL A 1000V",1298.48,1298.48,KGS,14547.92,11.2038,0.3637,Chile,Peru,SAN ANTONIO,,peru,imports,SEA,FOB
2026-03-22,GENERAL CABLE PERU S A C,GENERAL CABLE PERU S.A.C.,COBRE CERRILLOS S A COCESA,COBRE CERRILLOS S A COCESA,8544491090,CONDUCTOR,"CONDUCTORES ELECTRICOS, PRYSMIAN, S/M EN CARRETES / CODIGO: 20387761 - PRODUCTO TERMINADO CONDUCTORES ELECTRICOS PARA LA INDUSTRIA Y MINERIA XTMU/EVA 3X2/0+1X6 AWG 600V I14109639 80% CONDUCTOR DE COBRE, 20% COMPUESTO LIBRE DE HALOGENOS [LSZH] / INFERIOR O IGUAL A 1000V",2439.54,2439.54,KGS,32299.6,13.24,31.9482,Chile,Peru,SAN ANTONIO,,peru,imports,SEA,FOB
2026-03-22,IMPORTACIONES EVERLIGTH E I R L,IMPORTACIONES EVERLIGTH E.I.R.L.,WENZHOU KASAN ELECTRIC CO LTD,WENZHOU KASAN ELECTRIC CO LTD,8544499090,-,"CABLE DE TERMOCUPLA, S/M, S/M CABLE DE TERMOCUPLA TEMPERATURE WIRK X 100MTRS CABLE DE TERMOCUPLA",92.59,92.59,KGS,362.44,3.9145,18.122,China,Peru,NINGBO LISHE INTERNATIONAL APT,,peru,imports,SEA,FOB
2026-03-22,GENERAL CABLE PERU S A C,GENERAL CABLE PERU S.A.C.,COBRE CERRILLOS S A COCESA,COBRE CERRILLOS S A COCESA,8544491090,-,"CONDUCTORES ELECTRICOS, PRYSMIAN, S/M EN CARRETES / CODIGO: 20473556 - PRODUCTO TERMINADO CONDUCTOR ELECTRICO PARA INSTALACIONES INDUSTRIALES, COMERCIALES Y DOMICILIARIAS INTERIORE EVA GREEN-90 4 MM2 750V R100 NE 70% CONDUCTOR DE COBRE, 30% COMPUESTO LIBRE DE HALOGENOS [LSZH] / INFERIOR O IGUAL A 1000V",383.98,383.98,KGS,4604.11,11.9905,0.5755,Chile,Peru,SAN ANTONIO,,peru,imports,SEA,FOB
